date,region,product,units,price,category
2024-01-05,North,Widget A,120,19.99,Hardware
2024-01-06,South,Widget B,85,24.50,Hardware
2024-01-07,East,Service Plan,40,99.00,Subscription
2024-01-08,West,Widget A,95,19.99,Hardware
2024-01-09,North,Addon Pack,210,4.99,Accessory
2024-01-10,South,Widget C,60,31.00,Hardware
2024-01-11,East,Service Plan,35,99.00,Subscription
2024-01-12,West,Widget B,102,24.50,Hardware
2024-01-13,North,Widget A,88,19.99,Hardware
2024-01-14,South,Addon Pack,175,4.99,Accessory
